ID,KA,K23,K32,K24,K40,K20,VC,ALAG1
1,0.4902019255,0.631,0.396,0.01910552015,0.013,0.1924981219,397.3869854,0.5
2,59.90212078,0.631,0.396,0.005236801432,0.013,0.1114801079,503.8459062,0.5
3,19.28430969,0.631,0.396,0.003386949393,0.013,0.1404801789,301.2171075,0.5
4,1.23164809,0.631,0.396,0.1979042519,0.013,0.2258094514,258.8817908,0.5
5,0.7278610472,0.631,0.396,0.004077138575,0.013,0.1195954623,561.6597971,0.5
6,5.012415949,0.631,0.396,0.03880421177,0.013,0.1739398515,275.681549,0.5
7,1.951546844,0.631,0.396,0.04788014603,0.013,0.1096194615,406.0526009,0.5
8,2.978224399,0.631,0.396,0.007337640584,0.013,0.1460522489,279.0842074,0.5
9,0.1651429967,0.631,0.396,0.03467922504,0.013,0.1111705527,311.4292461,0.5
10,0.5888393797,0.631,0.396,0.005614562479,0.013,0.1020782961,283.7098446,0.5
11,0.1580184988,0.631,0.396,0.06707946419,0.013,0.1331238181,342.8545699,0.5
12,3.88306368,0.631,0.396,0.01366978238,0.013,0.1385551313,442.0636323,0.5
13,28.53742895,0.631,0.396,0.06550647683,0.013,0.2884448259,290.6740619,0.5
14,10.89394549,0.631,0.396,0.004817500804,0.013,0.2675758138,455.6717883,0.5
15,32.795198,0.631,0.396,0.009517352256,0.013,0.1194575107,267.1597508,0.5
16,4.495760058,0.631,0.396,0.03901832193,0.013,0.1172856554,395.7197508,0.5
17,7.882177536,0.631,0.396,0.02814685373,0.013,0.1191059843,352.7704166,0.5
18,1.201634827,0.631,0.396,0.1164540972,0.013,0.1451499932,271.5785328,0.5
19,90.82266663,0.631,0.396,0.01828321252,0.013,0.1601032437,435.5934699,0.5
20,0.4706996261,0.631,0.396,0.0001804633813,0.013,0.2041787121,340.6970036,0.5
21,11.6140774,0.631,0.396,0.01559205705,0.013,0.2106136657,310.5230026,0.5
22,0.873331101,0.631,0.396,0.1696991071,0.013,0.127556686,488.058515,0.5
23,107.7141532,0.631,0.396,0.01115937029,0.013,0.12154235,406.4549158,0.5
24,93.49830614,0.631,0.396,0.003236088228,0.013,0.1438567087,332.1118044,0.5
25,35.08639651,0.631,0.396,0.00613696641,0.013,0.1759675214,304.3864933,0.5
26,15.3629251,0.631,0.396,0.006343218814,0.013,0.2236013531,506.2423536,0.5
27,61.22106988,0.631,0.396,0.02298908058,0.013,0.1668238747,436.0951035,0.5
